customer_id,customer_name,email,registration_date,customer_type
CUST0001,Allison Hill,donaldgarcia@example.net,2026-03-15,VIP
CUST0002,Javier Johnson,jesseguzman@example.net,2024-02-14,REGULAR
CUST0003,Kimberly Robinson,lisa02@example.net,2024-10-17,REGULAR
CUST0004,Daniel Gallagher,daviscolin@example.com,2025-05-03,VIP
CUST0005,Monica Herrera,smiller@example.net,2025-05-19,PREMIUM
CUST0006,Laura Bush,stanleykendra@example.org,2026-02-03,REGULAR
CUST0007,Jamie Chavez,francisco53@example.net,2024-04-29,REGULAR
CUST0008,Maria Lynch,amandasanchez@example.com,2024-08-30,REGULAR
CUST0009,Margaret Hawkins DDS,perezantonio@example.com,2024-09-23,VIP
CUST0010,Thomas Bradley,jason76@example.net,2024-11-25,REGULAR
CUST0011,David Hoffman,julie69@example.com,2024-08-11,VIP
CUST0012,Brenda Snyder PhD,hernandezernest@example.net,2024-10-16,VIP
CUST0013,James Ferrell,tasha01@example.net,2026-03-07,VIP
CUST0014,Patricia Peterson,ryan70@example.net,2026-02-25,REGULAR
CUST0015,Jonathan White,harrellkenneth@example.net,2025-01-18,VIP
CUST0016,James Martin,georgetracy@example.org,2026-04-25,PREMIUM
CUST0017,Sandra Parker,allenashley@example.org,2023-10-13,REGULAR
CUST0018,Mr. Philip Cannon,donnaarroyo@example.org,2024-04-27,REGULAR
CUST0019,Jenny Lewis,jenniferross@example.net,2025-06-23,REGULAR
CUST0020,Joseph Martinez,calebsmith@example.net,2024-03-20,REGULAR
CUST0021,Benjamin Welch,carlosjohnson@example.com,2023-09-27,REGULAR
CUST0022,Michael Lewis,jenniferkhan@example.net,2024-12-11,VIP
CUST0023,Rhonda Lee,hopkinsmichael@example.com,2024-12-04,VIP
CUST0024,Megan Joyce,brownjessica@example.org,2024-04-09,REGULAR
CUST0025,Jerry Henderson,steven17@example.net,2023-10-27,VIP
CUST0026,Kimberly Smith,housemelinda@example.org,2024-09-29,REGULAR
CUST0027,Dr. Steven Martin,gallowayjoseph@example.com,2024-05-19,VIP
CUST0028,Monica Logan,smoore@example.org,2026-06-07,VIP
CUST0029,Kimberly Adkins,williamsthomas@example.net,2023-12-31,VIP
CUST0030,Angela Lopez,leonardjoe@example.org,2026-05-08,VIP
CUST0031,Lauren Williams,barnesbrandy@example.net,2024-06-22,PREMIUM
CUST0032,Michael Edwards,,2026-04-25,REGULAR
CUST0033,Alexandra Howell,jonesjason@example.com,2023-12-04,PREMIUM
CUST0034,Benjamin Sanchez,eric84@example.net,2026-06-24,VIP
CUST0035,Kendra Contreras,sarah12@example.com,2023-11-15,PREMIUM
CUST0036,Juan Nelson,jenniferharris@example.net,2026-01-31,REGULAR
CUST0037,Danielle Odonnell,davisrodney@example.com,2023-08-29,REGULAR
CUST0038,Carlos Whitney,joycearnold@example.com,2025-03-17,VIP
CUST0039,Tony Vazquez,amydavenport@example.net,2025-03-08,PREMIUM
CUST0040,Andrew Diaz,nolanjason@example.org,2025-07-11,PREMIUM
CUST0041,Justin Baxter,sarayoung@example.org,2026-06-15,PREMIUM
CUST0042,Sierra Johnson,kimberly63@example.com,2024-01-02,REGULAR
CUST0043,Janet Williams,dwalker@example.com,2024-06-10,REGULAR
CUST0044,Crystal Johnson,raymondramirez@example.org,2026-06-05,PREMIUM
CUST0045,Martin Ross,sheila14@example.org,2025-04-08,REGULAR
CUST0046,Mrs. Linda Reed,samuel81@example.com,2026-03-23,REGULAR
CUST0047,Andrew Graham,michaeljones@example.net,2026-04-16,PREMIUM
CUST0048,Mary Martinez,,2025-08-14,REGULAR
CUST0049,Cheryl Ortega,lbyrd@example.net,2025-03-26,PREMIUM
CUST0050,Roy Torres,russellcarpenter@example.net,2024-06-29,PREMIUM
CUST0051,Michael Dixon,donnacampbell@example.net,2025-06-04,VIP
CUST0052,Robert Potter,jeffrey32@example.org,2023-08-31,PREMIUM
CUST0053,Miss Patricia Gibson,jennifercruz@example.com,2024-04-04,REGULAR
CUST0054,Abigail Potter,osbornejeffery@example.net,2025-01-29,VIP
CUST0055,David Charles,danderson@example.net,2025-02-13,PREMIUM
CUST0056,Emily Fischer,usalazar@example.net,2024-10-21,VIP
CUST0057,Jill Moore,wcole@example.org,2026-01-17,REGULAR
CUST0058,Richard Washington,joshuajones@example.com,2024-03-25,PREMIUM
CUST0059,Steven Miller,jessebenson@example.net,2024-03-02,REGULAR
CUST0060,Gary Owens,clarkrobert@example.net,2026-05-13,VIP
CUST0061,Spencer Johnston,wsmith@example.com,2025-10-14,PREMIUM
CUST0062,Tiffany Barnes,tracynelson@example.com,2023-08-12,VIP
CUST0063,Michael Powell,marycalhoun@example.net,2025-02-16,VIP
CUST0064,Leslie Alvarado,dayderek@example.com,2024-01-27,PREMIUM
CUST0065,Garrett Gibson,kathleen64@example.com,2024-04-13,VIP
CUST0066,Alec Ryan,jeffrey10@example.org,2026-05-17,REGULAR
CUST0067,Alex Hernandez,thomaswilson@example.org,2024-12-02,VIP
CUST0068,Jacob Obrien,,2023-11-07,REGULAR
CUST0069,Eric Byrd,tsandersexample.org,2023-10-03,REGULAR
CUST0070,Lori Garcia,melissa91@example.net,2025-11-15,VIP
CUST0071,Jeffrey Wood,alexander67@example.org,2024-10-29,REGULAR
CUST0072,Steven Stevens,ryangross@example.net,2024-05-03,PREMIUM
CUST0073,Kimberly Webb,lpetersen@example.com,2024-06-29,REGULAR
CUST0074,Timothy Ramirez,dsanchezexample.net,2025-05-10,REGULAR
CUST0075,Allen Rosales,tonykelly@example.com,2024-07-19,REGULAR
CUST0076,Meredith Hill,blackjames@example.org,2025-09-08,PREMIUM
CUST0077,Peter Vaughn DDS,bwest@example.org,2024-05-29,PREMIUM
CUST0078,David Beck,thomas85@example.com,2026-07-08,PREMIUM
CUST0079,Heather Chavez,john13@example.com,2023-11-20,VIP
CUST0080,Pamela Lopez,joannahill@example.net,2026-06-16,PREMIUM
CUST0081,Diane Garcia,kennethward@example.com,2023-07-27,REGULAR
CUST0082,Denise Mccann,heidi27@example.org,2026-02-22,PREMIUM
CUST0083,Julie Alexander,tammyking@example.com,2023-11-14,PREMIUM
CUST0084,John Ray,hernandezlisa@example.com,2023-10-13,REGULAR
CUST0085,Justin Butler,kimberlyjames@example.com,2024-06-01,VIP
CUST0086,Jessica Carroll,lynchjody@example.org,2025-05-27,PREMIUM
CUST0087,Brad Allen,moorericky@example.net,2025-04-22,VIP
CUST0088,David Mann,ojones@example.com,2025-11-21,VIP
CUST0089,Mary Peck,owilson@example.net,2023-12-22,VIP
